name,year_start,year_end,position,height,weight,birth_date,college
Alaa Abdelnaby,1991,1995.0,F-C,6-10,240.0,1968-06-24,Duke University
Zaid Abdul-Aziz,1969,1978.0,C-F,6-9,235.0,1946-04-07,Iowa State University
Kareem Abdul-Jabbar,1970,1989.0,C,7-2,225.0,1947-04-16,"University of California, Los Angeles"
Mahmoud Abdul-Rauf,1991,2001.0,G,6-1,162.0,1969-03-09,Louisiana State University
Tariq Abdul-Wahad,1998,2003.0,F,6-6,223.0,1974-11-03,San Jose State University
Shareef Abdur-Rahim,1997,2008.0,F,6-9,225.0,1976-12-11,University of California
Tom Abernethy,1977,1981.0,F,6-7,220.0,1954-05-06,Indiana University
Forest Able,1957,1957.0,G,6-3,180.0,1932-07-27,Western Kentucky University
John Abramovic,1947,1948.0,F,6-3,195.0,1919-02-09,Salem International University
Alex Abrines,2017,2018.0,G-F,6-6,190.0,1993-08-01,
Alex Acker,2006,2009.0,G,6-5,185.0,1983-01-21,Pepperdine University
Don Ackerman,1954,1954.0,G,6-0,183.0,1930-09-04,Long Island University
Mark Acres,1988,1993.0,F-C,6-11,220.0,1962-11-15,Oral Roberts University
Bud Acton,1968,1968.0,F,6-6,210.0,1942-01-11,Hillsdale College
Quincy Acy,2013,2018.0,F,6-7,240.0,1990-10-06,Baylor University
Alvan Adams,1976,1988.0,C-F,6-9,210.0,1954-07-19,University of Oklahoma
Don Adams,1971,1977.0,F,6-6,210.0,1947-11-27,Northwestern University
George Adams,1973,1975.0,F-G,6-5,210.0,1949-05-15,Gardner-Webb University
Hassan Adams,2007,2009.0,G,6-4,220.0,1984-06-20,University of Arizona
Jordan Adams,2015,2016.0,G,6-5,209.0,1994-07-08,"University of California, Los Angeles"
Michael Adams,1986,1996.0,G,5-10,162.0,1963-01-19,Boston College
Steven Adams,2014,2018.0,C,7-0,255.0,1993-07-20,University of Pittsburgh
Rafael Addison,1987,1997.0,F-G,6-7,215.0,1964-07-22,Syracuse University
Bam Adebayo,2018,2018.0,C-F,6-10,243.0,1997-07-18,University of Kentucky
Rick Adelman,1969,1975.0,G,6-1,175.0,1946-06-16,Loyola Marymount University
Jeff Adrien,2011,2015.0,F,6-7,245.0,1986-02-10,University of Connecticut
Arron Afflalo,2008,2018.0,G,6-5,210.0,1985-10-15,"University of California, Los Angeles"
Maurice Ager,2007,2011.0,G,6-5,202.0,1984-02-09,Michigan State University
Mark Aguirre,1982,1994.0,F-G,6-6,232.0,1959-12-10,DePaul University
Blake Ahearn,2008,2012.0,G,6-2,190.0,1984-05-27,Missouri State University
Danny Ainge,1982,1995.0,G,6-4,175.0,1959-03-17,Brigham Young University
Matthew Aitch,1968,1968.0,F,6-7,230.0,1944-09-21,Michigan State University
Alexis Ajinca,2009,2017.0,C,7-2,248.0,1988-05-06,
Henry Akin,1967,1969.0,C-F,6-10,225.0,1944-07-31,Morehead State University
Josh Akognon,2013,2013.0,G,5-11,185.0,1986-02-10,"California State University, Fullerton"
Solomon Alabi,2011,2012.0,C,7-1,251.0,1988-03-21,Florida State University
Mark Alarie,1987,1991.0,F,6-8,217.0,1963-12-11,Duke University
Gary Alcorn,1960,1961.0,C,6-9,225.0,1936-10-08,"California State University, Fresno"
Furkan Aldemir,2015,2015.0,F-C,6-10,240.0,1991-08-09,
Cole Aldrich,2011,2018.0,C,6-11,250.0,1988-10-31,University of Kansas
LaMarcus Aldridge,2007,2018.0,F-C,6-11,260.0,1985-07-19,University of Texas at Austin
Chuck Aleksinas,1985,1985.0,C,6-11,260.0,1959-02-26,University of Connecticut
Cliff Alexander,2016,2016.0,F,6-8,245.0,1995-11-16,University of Kansas
Cory Alexander,1996,2005.0,G,6-1,185.0,1973-06-22,University of Virginia
Courtney Alexander,2001,2003.0,G,6-5,205.0,1977-04-27,"California State University, Fresno"
Gary Alexander,1994,1994.0,F,6-7,240.0,1969-11-01,University of South Florida
Joe Alexander,2009,2010.0,F,6-8,230.0,1986-12-26,West Virginia University
Victor Alexander,1992,2002.0,C-F,6-9,265.0,1969-08-31,Iowa State University
Steve Alford,1988,1991.0,G,6-2,183.0,1964-11-23,Indiana University
Bill Allen,1968,1968.0,C-F,6-8,205.0,,New Mexico State University
Bob Allen,1969,1969.0,F,6-9,205.0,1946-07-17,Marshall University
Jarrett Allen,2018,2018.0,F-C,6-10,234.0,1998-04-21,University of Texas at Austin
Jerome Allen,1996,1997.0,G,6-4,184.0,1973-01-28,University of Pennsylvania
Kadeem Allen,2018,2018.0,G,6-3,192.0,1993-01-15,University of Arizona
Lavoy Allen,2012,2017.0,F-C,6-9,260.0,1989-02-04,Temple University
Lucius Allen,1970,1979.0,G,6-2,175.0,1947-09-26,"University of California, Los Angeles"
Malik Allen,2002,2011.0,F-C,6-10,255.0,1978-06-27,Villanova University
Randy Allen,1989,1990.0,F,6-8,220.0,1965-01-26,Florida State University
Ray Allen,1997,2014.0,G,6-5,205.0,1975-07-20,University of Connecticut
Tony Allen,2005,2018.0,G-F,6-4,213.0,1982-01-11,Oklahoma State University
Willie Allen,1972,1972.0,F,6-6,230.0,1949-02-08,University of Miami
Odis Allison,1972,1972.0,F,6-6,195.0,1949-10-02,"University of Nevada, Las Vegas"
Lance Allred,2008,2008.0,C,6-11,250.0,1981-02-02,Weber State University
Darrell Allums,1981,1981.0,F,6-9,220.0,1958-09-12,"University of California, Los Angeles"
Morris Almond,2008,2012.0,G,6-6,225.0,1985-02-02,Rice University
Derrick Alston,1995,1997.0,F,6-11,225.0,1972-08-20,Duquesne University
Rafer Alston,2000,2010.0,G,6-2,171.0,1976-07-24,"California State University, Fresno"
Peter Aluma,1999,1999.0,C,6-10,260.0,1973-04-23,Liberty University
John Amaechi,1996,2003.0,C-F,6-10,270.0,1970-11-26,Pennsylvania State University
Ashraf Amaya,1996,1997.0,F,6-8,230.0,1971-11-23,Southern Illinois University
Al-Farouq Aminu,2011,2018.0,F,6-9,220.0,1990-09-21,Wake Forest University
Lou Amundson,2007,2016.0,F,6-9,220.0,1982-12-07,"University of Nevada, Las Vegas"
Bob Anderegg,1960,1960.0,F-G,6-3,200.0,1937-08-24,Michigan State University
Chris Andersen,2002,2017.0,F-C,6-10,245.0,1978-07-07,Blinn College
David Andersen,2010,2011.0,C,6-11,245.0,1980-06-23,
Alan Anderson,2006,2017.0,G-F,6-6,220.0,1982-10-16,Michigan State University
Andrew Anderson,1968,1970.0,G,6-2,184.0,1945-07-06,Canisius College
Antonio Anderson,2010,2010.0,G,6-6,215.0,1985-06-05,University of Memphis
Cliff Anderson,1968,1971.0,G-F,6-2,200.0,1944-09-07,Saint Joseph's University
Dan Anderson,1968,1969.0,C,6-10,230.0,1943-02-15,Augsburg College
Derek Anderson,1998,2008.0,G,6-5,194.0,1974-07-18,University of Kentucky
Dwight Anderson,1983,1983.0,G,6-3,185.0,1960-12-28,University of Southern California
Eric Anderson,1993,1994.0,F,6-9,220.0,1970-05-26,Indiana University
Greg Anderson,1988,1998.0,F-C,6-10,230.0,1964-06-22,University of Houston
J.J. Anderson,1983,1985.0,F,6-8,195.0,1960-09-23,Bradley University
James Anderson,2011,2016.0,G-F,6-6,213.0,1989-03-25,Oklahoma State University
Jerome Anderson,1976,1977.0,G,6-5,195.0,1953-10-09,West Virginia University
Justin Anderson,2016,2018.0,G,6-6,228.0,1993-11-19,University of Virginia
Kenny Anderson,1992,2005.0,G,6-0,168.0,1970-10-09,Georgia Institute of Technology
Kim Anderson,1979,1979.0,F,6-7,200.0,1955-05-12,University of Missouri
Kyle Anderson,2015,2018.0,F-G,6-9,230.0,1993-09-20,"University of California, Los Angeles"
Michael Anderson,1989,1989.0,G,5-11,184.0,1966-03-23,Drexel University
Nick Anderson,1990,2002.0,F-G,6-6,205.0,1968-01-20,University of Illinois at Urbana-Champaign
Richard Anderson,1983,1990.0,F-C,6-10,240.0,1960-11-19,"University of California, Santa Barbara"
Ron Anderson,1985,1994.0,F-G,6-7,215.0,1958-10-15,"California State University, Fresno"
Ryan Anderson,2009,2018.0,F,6-10,240.0,1988-05-06,University of California
