playerName,image_url,Shooter,Assister
Leo Gottlieb,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,L.Gottlieb,L.Gottlieb
Ossie Schectman,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,O.Schectman,O.Schectman
Stan Stutz,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,S.Stutz,S.Stutz
Ralph Kaplowitz,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,R.Kaplowitz,R.Kaplowitz
Jake Weber,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,J.Weber,J.Weber
Nat Militzok,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,N.Militzok,N.Militzok
Dick Murphy,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,D.Murphy,D.Murphy
Hank Rosenstein,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,H.Rosenstein,H.Rosenstein
Tommy Byrnes,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,T.Byrnes,T.Byrnes
Sonny Hertzberg,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,S.Hertzberg,S.Hertzberg
Bob Mullens,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,B.Mullens,B.Mullens
Ed Sadowski,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,E.Sadowski,E.Sadowski
George Nostrand,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,G.Nostrand,G.Nostrand
Charlie Hoefer,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,C.Hoefer,C.Hoefer
Dick Fitzgerald,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,D.Fitzgerald,D.Fitzgerald
Mike McCarron,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,M.McCarron,M.McCarron
Ray Wertis,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,R.Wertis,R.Wertis
Bob Fitzgerald,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,B.Fitzgerald,B.Fitzgerald
Frank Fucarino,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,F.Fucarino,F.Fucarino
Harry Miller,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,H.Miller,H.Miller
Hank Biasatti,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,H.Biasatti,H.Biasatti
Roy Hurley,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,R.Hurley,R.Hurley
Red Wallace,https://library.sportingnews.com/styles/twitter_card_120x120/s3/2021-08/nba-75-logo-16x9_qkrq1v8nlsii1aiy55rlk0h9r.jpg?itok=OPjFZFP3,R.Wallace,R.Wallace
