team,abbreviation,team_im
Atlanta Hawks,ATL,https://cdn.ssref.net/req/202410231/tlogo/bbr/ATL-2025.png
Boston Celtics,BOS,https://cdn.ssref.net/req/202410231/tlogo/bbr/BOS-2025.png
Brooklyn Nets,BRK,https://cdn.ssref.net/req/202410231/tlogo/bbr/BRK-2025.png
Charlotte Hornets,CHA,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHO-2025.png
Chicago Bulls,CHI,https://cdn.ssref.net/req/202410231/tlogo/bbr/CHI-2025.png
Cleveland Cavaliers,CLE,https://cdn.ssref.net/req/202410231/tlogo/bbr/CLE-2025.png
Dallas Mavericks,DAL,https://cdn.ssref.net/req/202410231/tlogo/bbr/DAL-2025.png
Denver Nuggets,DEN,https://cdn.ssref.net/req/202410231/tlogo/bbr/DEN-2025.png
Detroit Pistons,DET,https://cdn.ssref.net/req/202410231/tlogo/bbr/DET-2025.png
Golden State Warriors,GSW,https://cdn.ssref.net/req/202410231/tlogo/bbr/GSW-2025.png
Houston Rockets,HOU,https://cdn.ssref.net/req/202410231/tlogo/bbr/HOU-2025.png
Indiana Pacers,IND,https://cdn.ssref.net/req/202410231/tlogo/bbr/IND-2025.png
Los Angeles Clippers,LAC,https://cdn.ssref.net/req/202410231/tlogo/bbr/LAC-2025.png
Los Angeles Lakers,LAL,https://cdn.ssref.net/req/202410231/tlogo/bbr/LAL-2025.png
Memphis Grizzlies,MEM,https://cdn.ssref.net/req/202410231/tlogo/bbr/MEM-2025.png
Miami Heat,MIA,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIA-2025.png
Milwaukee Bucks,MIL,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIL-2025.png
Minnesota Timberwolves,MIN,https://cdn.ssref.net/req/202410231/tlogo/bbr/MIN.png
New Orleans Pelicans,NOP,https://cdn.ssref.net/req/202410231/tlogo/bbr/NOP-2025.png
New York Knicks,NYK,https://cdn.ssref.net/req/202410231/tlogo/bbr/NYK-2025.png
Oklahoma City Thunder,OKC,https://cdn.ssref.net/req/202410231/tlogo/bbr/OKC-2025.png
Orlando Magic,ORL,https://cdn.ssref.net/req/202410231/tlogo/bbr/ORL-2025.png
Philadelphia 76ers,PHI,https://cdn.ssref.net/req/202410231/tlogo/bbr/PHI-2025.png
Phoenix Suns,PHO,https://cdn.ssref.net/req/202410231/tlogo/bbr/PHO-2025.png
Portland Trail Blazers,POR,https://cdn.ssref.net/req/202410231/tlogo/bbr/POR-2025.png
Sacramento Kings,SAC,https://cdn.ssref.net/req/202410231/tlogo/bbr/SAC-2025.png
San Antonio Spurs,SAS,https://cdn.ssref.net/req/202410231/tlogo/bbr/SAS-2025.png
Toronto Raptors,TOR,https://cdn.ssref.net/req/202410231/tlogo/bbr/TOR-2025.png
Utah Jazz,UTA,https://cdn.ssref.net/req/202410231/tlogo/bbr/UTA-2025.png
Washington Wizards,WAS,https://cdn.ssref.net/req/202410231/tlogo/bbr/WAS-2025.png
Syracuse Nationals,SYR,https://cdn.ssref.net/req/202311071/tlogo/bbr/SYR-1960.png
St. Louis Hawks,STL,https://cdn.ssref.net/req/202311071/tlogo/bbr/STL-1968.png
Milwaukee Hawks,MLH,https://cdn.ssref.net/req/202311071/tlogo/bbr/MLH-1955.png
Tri-Cities Blackhawks,TRI,https://cdn.ssref.net/req/202311071/tlogo/bbr/TRI-1951.png
New Jersey Americans,NJA,https://cdn.ssref.net/req/202311071/tlogo/bbr/NJA-1968.png
New York Nets,NYN,https://cdn.ssref.net/req/202311071/tlogo/bbr/NYN-1977.png
New Jersey Nets,NJN,https://cdn.ssref.net/req/202311071/tlogo/bbr/NJN-2004.png
Charlotte Bobcats,CHA,https://cdn.ssref.net/req/202311071/tlogo/bbr/CHA-2010.png
Fort Wayne Pistons,FTW,https://cdn.ssref.net/req/202311071/tlogo/bbr/FTW-1957.png
San Francisco Warriors,SFW,https://cdn.ssref.net/req/202311071/tlogo/bbr/SFW-1963.png
Philadelphia Warriors,PHW,https://cdn.ssref.net/req/202311071/tlogo/bbr/PHW-1962.png
San Diego Rockets,SDR,https://cdn.ssref.net/req/202311071/tlogo/bbr/SDR-1971.png
Buffalo Braves,BUF,https://cdn.ssref.net/req/202311071/tlogo/bbr/BUF-1978.png
San Diego Clippers,SDC,https://cdn.ssref.net/req/202311071/tlogo/bbr/SDC-1980.png
Minneapolis Lakers,MNL,https://cdn.ssref.net/req/202311071/tlogo/bbr/MNL-1957.png
Vancouver Grizzlies,VAN,https://cdn.ssref.net/req/202311071/tlogo/bbr/VAN-2001.png
New Orleans Hornets,NOH,https://cdn.ssref.net/req/202311071/tlogo/bbr/NOH-2003.png
New Orleans/Oklahoma City Hornets,NOK,https://cdn.ssref.net/req/202311071/tlogo/bbr/NOK-2006.png
Seattle SuperSonics,SEA,https://cdn.ssref.net/req/202311071/tlogo/bbr/SEA-1999.png
Rochester Royals,ROC,https://cdn.ssref.net/req/202311071/tlogo/bbr/ROC-1954.png
Cincinnati Royals,CIN,https://cdn.ssref.net/req/202311071/tlogo/bbr/CIN-1962.png
Kansas City-Omaha Kings,KCO,https://cdn.ssref.net/req/202311071/tlogo/bbr/KCO-1973.png
Kansas City Kings,KCK,https://cdn.ssref.net/req/202311071/tlogo/bbr/KCK-1976.png
New Orleans Jazz,NOJ,https://cdn.ssref.net/req/202311071/tlogo/bbr/NOJ-1979.png
Chicago Packers,CHP,https://cdn.ssref.net/req/202311071/tlogo/bbr/CHP-1962.png
Chicago Zephyrs,CHZ,https://cdn.ssref.net/req/202311071/tlogo/bbr/CHZ-1963.png
Baltimore Bullets,BAL,https://cdn.ssref.net/req/202311071/tlogo/bbr/BAL-1964.png
Capital Bullets,CAP,https://cdn.ssref.net/req/202311071/tlogo/bbr/CAP-1974.png
Washington Bullets,WSB,https://cdn.ssref.net/req/202311071/tlogo/bbr/WSB-1975.png

